cmp_ids,cmp_mole_fractions,miu,rho,cp,"Temperature, K",noise,k,value
[0],[1],0.969821143,0.818169877,2189.384073,313.267988,1.204293632,0.134,460.2653648
[1],[1],1.490653132,0.872688707,2472.47167,312.6137722,4.252403887,0.129,449.1174106
[2],[1],1.62528318,0.801860819,2486.284138,311.8801335,3.778852496,0.148,424.8219965
[3],[1],1.255976522,1.021338306,1815.325943,312,1,0.132,459.7102645
[4],[1],1.730477354,0.803409445,2825.468521,312,1,0.139,423.0939996
[5],[1],1.631260498,0.799456119,2813.251747,312,1,0.14,430.4609936
[6],[1],2.010743839,0.811691065,2944.356736,312,1,0.144,419.1557015
[7],[1],1.927456969,0.862713004,2580.243586,312,1,0.13,415.6996568
[8],[1],1.898182194,0.810914568,2872.646465,312,1,0.129,417.8495107
[9],[1],0.860124749,0.842732734,2060.148711,312,1,0.122,465.3190774
[10],[1],1.644592393,1.071166674,1743.509721,312,1,0.129,439.3571555
[11],[1],2.824772399,0.968155253,1890.100801,312,1,0.145,379.3789552
[12],[1],1.571978267,0.957193822,1774.824659,312.951677,4.22167261,0.118,409.0658023
[13],[1],1.407083713,0.969752744,1782.870792,312,1,0.122,433.5074799
[14],[1],1.712909667,0.931483333,1788.596422,312,1,0.126,411.6129878
[15],[1],1.704040733,1.020286828,1686.024164,312,1,0.149,424.4804809
[16],[1],1.611131207,0.977123015,1787.352847,312,1,0.137,422.28624
[17],[1],2.514353426,0.854126962,2042.948968,312,1,0.153,370.5317335
[18],[1],1.470759162,1.148096247,1741.369671,312,1,0.178,478.1047019
[19],[1],1.019892779,1.132178493,1516.090215,312,1,0.125,482.6242468
[20],[1],1.176821524,1.019857251,1941.10584,312,1,0.143,479.1872606
[21],[1],1.417772576,1.046890677,1769.094677,312,1,0.135,459.2927035
[22],[1],1.418761447,1.006224592,1964.48042,312,1,0.129,458.2011623
[23],[1],1.003003456,0.844946369,1999.876872,313.0281863,1.324428091,0.114,446.1436703
[24],[1],1.703832747,1.002217904,2054.440856,312,1,0.148,439.1452283
[25],[1],2.35,0.831,2029.372009,312,1,0.158,376.93462
